标本ID,日期,星期,采集时间,采集时段,来源科室/采血点,患者类型,标本类型,检验专业组,检验项目数,签收时间,前处理开始,前处理完成,前处理状态,前处理报错类型,前处理耗时_分钟,上机时间,报告时间,TAT_分钟,目标TAT_分钟,是否超时,前处理工位,仪器编号,操作人
S0807-01094,2026-08-07,周五,16:57,14-17,体检中心,体检,血清,血液,5,17:09,17:13,17:19,正常,,6,17:23,17:46,49,240,否,前处理-A线,BIO-01,OP-107
S0807-01095,2026-08-07,周五,10:34,10-12,内分泌科病区,住院,尿液,生化,3,11:26,11:29,12:06,报错,样本量不足,37,12:13,12:33,119,120,否,前处理-手工台,BIO-01,OP-103
S0807-01096,2026-08-07,周五,16:43,14-17,门诊采血中心,门诊,血清,生化,16,16:58,17:00,17:08,正常,,8,17:15,17:43,60,120,否,前处理-手工台,BIO-01,OP-104
S0807-01097,2026-08-07,周五,08:01,07-10 早高峰,内分泌科病区,住院,全血,血液,5,08:55,08:56,09:23,正常,,27,09:31,09:54,113,120,否,前处理-A线,IMM-02,OP-101
S0807-01098,2026-08-07,周五,16:46,14-17,门诊采血中心,门诊,全血,生化,7,17:11,17:13,17:18,正常,,5,17:26,18:01,75,120,否,前处理-手工台,BIO-02,OP-102
S0807-01099,2026-08-07,周五,15:12,14-17,肾内科病区,住院,血清,微生物,4,15:42,15:47,15:56,正常,,9,15:58,19:48,276,120,是,前处理-A线,COAG-01,OP-104
S0807-01100,2026-08-07,周五,15:17,14-17,呼吸科病区,住院,血清,凝血,2,16:06,16:11,16:15,正常,,4,16:22,17:00,103,120,否,前处理-B线,HEM-01,OP-103
S0807-01101,2026-08-07,周五,08:44,07-10 早高峰,门诊采血中心,门诊,全血,免疫,9,08:53,08:55,09:10,正常,,15,09:16,09:42,58,120,否,前处理-手工台,BIO-02,OP-105
S0807-01102,2026-08-07,周五,14:05,14-17,消化科病区,住院,血清,免疫,3,14:25,14:30,14:39,正常,,9,14:41,15:32,87,120,否,前处理-A线,HEM-01,OP-105
S0807-01103,2026-08-07,周五,07:07,07-10 早高峰,门诊采血中心,门诊,血浆,生化,2,07:24,07:28,07:54,正常,,26,07:56,08:33,86,120,否,前处理-B线,COAG-01,OP-106
S0807-01104,2026-08-07,周五,09:42,07-10 早高峰,门诊采血中心,门诊,血清,生化,9,10:03,10:05,10:23,正常,,18,10:28,11:07,85,120,否,前处理-手工台,HEM-01,OP-105
S0807-01105,2026-08-07,周五,08:20,07-10 早高峰,体检中心,体检,血清,免疫,10,08:40,08:43,09:07,正常,,24,09:10,10:04,104,240,否,前处理-B线,COAG-01,OP-104
S0807-01106,2026-08-07,周五,14:59,14-17,门诊采血中心,门诊,血清,生化,1,15:08,15:10,15:18,正常,,8,15:21,15:58,59,120,否,前处理-A线,MICRO-01,OP-103
S0807-01107,2026-08-07,周五,10:38,10-12,门诊采血中心,门诊,血清,生化,1,11:03,11:05,11:12,正常,,7,11:20,11:58,80,120,否,前处理-手工台,BIO-02,OP-104
S0807-01108,2026-08-07,周五,08:26,07-10 早高峰,心内科病区,住院,血浆,免疫,14,08:56,09:00,09:18,正常,,18,09:25,10:03,97,120,否,前处理-手工台,IMM-02,OP-103
S0807-01109,2026-08-07,周五,09:15,07-10 早高峰,呼吸科病区,住院,尿液,微生物,2,10:06,10:12,10:28,正常,,16,10:35,12:52,217,120,是,前处理-A线,BIO-02,OP-105
S0807-01110,2026-08-07,周五,07:23,07-10 早高峰,门诊采血中心,门诊,血清,免疫,6,07:47,07:48,08:14,正常,,26,08:18,08:50,87,120,否,前处理-手工台,BIO-01,OP-107
S0807-01111,2026-08-07,周五,08:37,07-10 早高峰,内分泌科病区,住院,血清,血液,5,09:12,09:15,09:33,正常,,18,09:40,10:21,104,120,否,前处理-A线,BIO-01,OP-103
S0807-01112,2026-08-07,周五,15:11,14-17,消化科病区,住院,血清,免疫,18,15:45,15:47,15:53,正常,,6,15:57,16:19,68,120,否,前处理-A线,MICRO-01,OP-106
S0807-01113,2026-08-07,周五,07:30,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,5,07:46,07:51,08:12,正常,,21,08:14,08:46,76,120,否,前处理-B线,MICRO-01,OP-104
S0807-01114,2026-08-07,周五,13:10,12-14,肾内科病区,住院,血清,血液,6,13:50,13:54,14:01,正常,,7,14:08,14:37,87,120,否,前处理-B线,MICRO-01,OP-103
S0807-01115,2026-08-07,周五,07:56,07-10 早高峰,急诊采血,急诊,全血,生化,1,08:17,08:22,08:46,正常,,24,08:53,09:16,80,60,是,前处理-A线,IMM-01,OP-101
S0807-01116,2026-08-07,周五,08:52,07-10 早高峰,急诊采血,急诊,血清,血液,3,09:15,09:18,09:37,正常,,19,09:44,10:14,82,60,是,前处理-B线,BIO-02,OP-103
S0807-01117,2026-08-07,周五,16:34,14-17,急诊采血,急诊,血清,免疫,8,16:55,16:57,17:01,正常,,4,17:04,17:28,54,60,否,前处理-手工台,MICRO-01,OP-106
S0807-01118,2026-08-07,周五,09:10,07-10 早高峰,门诊采血中心,门诊,血清,生化,6,09:19,09:25,09:50,正常,,25,09:58,10:29,79,120,否,前处理-手工台,HEM-02,OP-103
S0807-01119,2026-08-07,周五,08:54,07-10 早高峰,消化科病区,住院,血浆,血液,4,09:38,09:43,10:05,正常,,22,10:09,10:55,121,120,是,前处理-B线,BIO-02,OP-105
S0807-01120,2026-08-07,周五,09:51,07-10 早高峰,门诊采血中心,门诊,尿液,免疫,6,10:06,10:12,10:33,正常,,21,10:41,11:16,85,120,否,前处理-A线,IMM-02,OP-103
S0807-01121,2026-08-07,周五,15:18,14-17,门诊采血中心,门诊,全血,生化,12,15:30,15:34,15:44,正常,,10,15:51,16:18,60,120,否,前处理-B线,IMM-01,OP-106
S0807-01122,2026-08-07,周五,07:14,07-10 早高峰,门诊采血中心,门诊,全血,凝血,3,07:23,07:24,07:44,正常,,20,07:50,08:32,78,120,否,前处理-B线,IMM-02,OP-108
S0807-01123,2026-08-07,周五,10:10,10-12,ICU,住院,血清,免疫,4,10:36,10:42,10:48,正常,,6,10:56,11:16,66,90,否,前处理-A线,HEM-02,OP-105
S0807-01124,2026-08-07,周五,08:35,07-10 早高峰,体检中心,体检,全血,微生物,4,08:57,09:03,09:26,正常,,23,09:28,12:14,219,240,否,前处理-A线,BIO-01,OP-105
S0807-01125,2026-08-07,周五,15:02,14-17,门诊采血中心,门诊,全血,微生物,5,15:26,15:28,15:32,正常,,4,15:37,19:19,257,120,是,前处理-B线,HEM-01,OP-104
S0807-01126,2026-08-07,周五,11:06,10-12,门诊采血中心,门诊,血清,凝血,2,11:26,11:30,11:35,正常,,5,11:40,12:01,55,120,否,前处理-B线,HEM-01,OP-104
S0807-01127,2026-08-07,周五,07:50,07-10 早高峰,儿科门诊采血窗口,门诊,血清,凝血,5,07:58,08:00,08:27,正常,,27,08:32,09:22,92,120,否,前处理-B线,IMM-02,OP-103
S0807-01128,2026-08-07,周五,09:56,07-10 早高峰,急诊采血,急诊,血浆,免疫,6,10:15,10:16,10:33,正常,,17,10:36,11:10,74,60,是,前处理-手工台,BIO-02,OP-101
S0807-01129,2026-08-07,周五,09:19,07-10 早高峰,ICU,住院,血清,免疫,15,09:51,09:55,10:25,正常,,30,10:29,10:53,94,90,是,前处理-手工台,COAG-01,OP-108
S0807-01130,2026-08-07,周五,16:14,14-17,儿科门诊采血窗口,门诊,血清,生化,17,16:34,16:38,16:44,正常,,6,16:46,17:19,65,120,否,前处理-B线,IMM-02,OP-101
S0807-01131,2026-08-07,周五,08:12,07-10 早高峰,门诊采血中心,门诊,血清,生化,3,08:32,08:35,09:03,正常,,28,09:08,09:46,94,120,否,前处理-手工台,HEM-02,OP-108
S0807-01132,2026-08-07,周五,09:17,07-10 早高峰,ICU,住院,血浆,血液,6,09:58,10:00,10:18,正常,,18,10:25,10:50,93,90,是,前处理-手工台,HEM-01,OP-102
S0807-01133,2026-08-07,周五,18:47,17-20,儿科门诊采血窗口,门诊,血清,凝血,6,18:56,18:58,19:02,正常,,4,19:08,19:52,65,120,否,前处理-A线,IMM-02,OP-102
S0807-01134,2026-08-07,周五,07:59,07-10 早高峰,ICU,住院,血清,生化,1,08:20,08:22,09:02,报错,样本凝集,40,09:09,09:43,104,90,是,前处理-A线,HEM-02,OP-102
S0807-01135,2026-08-07,周五,17:21,17-20,门诊采血中心,门诊,全血,免疫,10,17:32,17:36,17:44,正常,,8,17:49,18:17,56,120,否,前处理-B线,IMM-01,OP-108
S0807-01136,2026-08-07,周五,19:53,17-20,消化科病区,住院,血浆,生化,18,20:14,20:18,20:25,正常,,7,20:29,20:56,63,120,否,前处理-B线,HEM-02,OP-106
S0807-01137,2026-08-07,周五,16:41,14-17,儿科门诊采血窗口,门诊,血清,免疫,9,17:04,17:07,17:31,报错,条码识别失败,24,17:39,18:28,107,120,否,前处理-B线,IMM-01,OP-106
S0807-01138,2026-08-07,周五,07:25,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,3,07:45,07:50,08:11,正常,,21,08:19,09:06,101,120,否,前处理-A线,BIO-02,OP-107
S0807-01139,2026-08-07,周五,19:23,17-20,门诊采血中心,门诊,其他,凝血,3,19:32,19:33,19:41,正常,,8,19:49,20:09,46,120,否,前处理-手工台,MICRO-01,OP-108
S0807-01140,2026-08-07,周五,11:58,10-12,门诊采血中心,门诊,血浆,生化,6,12:11,12:17,12:21,正常,,4,12:25,12:51,53,120,否,前处理-手工台,HEM-02,OP-105
S0807-01141,2026-08-07,周五,08:39,07-10 早高峰,急诊采血,急诊,全血,生化,11,08:51,08:54,09:15,正常,,21,09:19,09:52,73,60,是,前处理-B线,COAG-01,OP-103
S0807-01142,2026-08-07,周五,11:51,10-12,门诊采血中心,门诊,血清,凝血,2,12:08,12:09,12:14,正常,,5,12:20,13:11,80,120,否,前处理-手工台,MICRO-01,OP-103
S0807-01143,2026-08-07,周五,13:54,12-14,急诊采血,急诊,全血,生化,6,14:07,14:10,14:15,正常,,5,14:21,15:02,68,60,是,前处理-A线,COAG-01,OP-107
S0807-01144,2026-08-07,周五,08:54,07-10 早高峰,肾内科病区,住院,血清,凝血,3,09:30,09:35,09:52,正常,,17,09:54,10:41,107,120,否,前处理-A线,IMM-02,OP-101
S0807-01145,2026-08-07,周五,08:37,07-10 早高峰,门诊采血中心,门诊,血浆,血液,6,08:52,08:53,09:11,正常,,18,09:14,09:38,61,120,否,前处理-B线,HEM-01,OP-104
S0807-01146,2026-08-07,周五,09:52,07-10 早高峰,心内科病区,住院,全血,生化,10,10:26,10:29,10:52,正常,,23,10:55,11:31,99,120,否,前处理-A线,HEM-01,OP-108
S0807-01147,2026-08-07,周五,16:12,14-17,门诊采血中心,门诊,血清,生化,4,16:37,16:39,16:46,正常,,7,16:53,17:30,78,120,否,前处理-A线,BIO-01,OP-103
S0807-01148,2026-08-07,周五,09:04,07-10 早高峰,急诊采血,急诊,血清,免疫,10,09:22,09:23,09:40,正常,,17,09:42,10:09,65,60,是,前处理-A线,HEM-02,OP-103
S0807-01149,2026-08-07,周五,09:15,07-10 早高峰,ICU,住院,血清,免疫,10,10:05,10:10,10:28,正常,,18,10:33,11:28,133,90,是,前处理-A线,HEM-02,OP-104
S0807-01150,2026-08-07,周五,12:36,12-14,门诊采血中心,门诊,血浆,凝血,5,13:01,13:07,13:14,正常,,7,13:19,13:41,65,120,否,前处理-手工台,HEM-02,OP-102
S0807-01151,2026-08-07,周五,09:58,07-10 早高峰,门诊采血中心,门诊,全血,生化,8,10:12,10:13,10:37,正常,,24,10:39,11:22,84,120,否,前处理-手工台,BIO-01,OP-101
S0807-01152,2026-08-07,周五,09:12,07-10 早高峰,门诊采血中心,门诊,血浆,凝血,3,09:36,09:41,10:05,正常,,24,10:13,10:33,81,120,否,前处理-手工台,COAG-01,OP-106
S0807-01153,2026-08-07,周五,09:43,07-10 早高峰,心内科病区,住院,血清,生化,18,10:10,10:14,10:28,正常,,14,10:35,11:07,84,120,否,前处理-A线,COAG-01,OP-103
S0807-01154,2026-08-07,周五,14:05,14-17,门诊采血中心,门诊,血清,血液,2,14:19,14:22,14:26,正常,,4,14:28,15:17,72,120,否,前处理-B线,BIO-01,OP-103
S0807-01155,2026-08-07,周五,07:38,07-10 早高峰,门诊采血中心,门诊,其他,免疫,7,07:49,07:51,08:17,正常,,26,08:21,08:44,66,120,否,前处理-A线,IMM-02,OP-106
S0807-01156,2026-08-07,周五,10:41,10-12,门诊采血中心,门诊,血清,微生物,6,10:59,11:03,11:07,正常,,4,11:14,15:05,264,120,是,前处理-B线,HEM-01,OP-102
S0807-01157,2026-08-07,周五,08:15,07-10 早高峰,门诊采血中心,门诊,血清,血液,2,08:23,08:27,08:40,正常,,13,08:44,09:22,67,120,否,前处理-手工台,BIO-01,OP-108
S0807-01158,2026-08-07,周五,09:37,07-10 早高峰,门诊采血中心,门诊,血浆,生化,15,10:01,10:04,10:23,正常,,19,10:27,11:02,85,120,否,前处理-B线,HEM-02,OP-107
S0807-01159,2026-08-07,周五,08:24,07-10 早高峰,儿科门诊采血窗口,门诊,尿液,免疫,1,08:35,08:36,09:04,正常,,28,09:12,09:33,69,120,否,前处理-A线,HEM-02,OP-101
S0807-01160,2026-08-07,周五,11:39,10-12,消化科病区,住院,全血,生化,10,12:21,12:22,12:26,正常,,4,12:28,13:07,88,120,否,前处理-B线,BIO-02,OP-108
S0807-01161,2026-08-07,周五,08:46,07-10 早高峰,消化科病区,住院,血清,凝血,5,09:24,09:28,09:51,正常,,23,09:55,10:37,111,120,否,前处理-A线,IMM-01,OP-101
S0807-01162,2026-08-07,周五,11:12,10-12,消化科病区,住院,血清,血液,2,11:51,11:55,12:01,正常,,6,12:07,13:02,110,120,否,前处理-手工台,COAG-01,OP-106
S0807-01163,2026-08-07,周五,18:44,17-20,门诊采血中心,门诊,血浆,生化,4,18:54,18:56,19:00,正常,,4,19:04,19:28,44,120,否,前处理-A线,MICRO-01,OP-104
S0807-01164,2026-08-07,周五,08:48,07-10 早高峰,肾内科病区,住院,尿液,免疫,1,09:24,09:27,09:43,正常,,16,09:46,10:17,89,120,否,前处理-手工台,HEM-02,OP-107
S0807-01165,2026-08-07,周五,14:08,14-17,心内科病区,住院,全血,生化,10,14:58,15:00,15:05,正常,,5,15:09,15:46,98,120,否,前处理-A线,HEM-01,OP-105
S0807-01166,2026-08-07,周五,08:43,07-10 早高峰,门诊采血中心,门诊,血清,血液,2,09:00,09:01,09:27,正常,,26,09:32,10:24,101,120,否,前处理-手工台,COAG-01,OP-103
S0807-01167,2026-08-07,周五,07:22,07-10 早高峰,门诊采血中心,门诊,血清,免疫,7,07:34,07:40,07:56,正常,,16,08:03,08:51,89,120,否,前处理-B线,IMM-01,OP-104
S0807-01168,2026-08-07,周五,13:13,12-14,门诊采血中心,门诊,血清,血液,5,13:32,13:33,13:38,正常,,5,13:42,14:31,78,120,否,前处理-手工台,BIO-02,OP-107
S0807-01169,2026-08-07,周五,17:01,17-20,急诊采血,急诊,血清,免疫,13,17:17,17:23,17:28,正常,,5,17:32,18:05,64,60,是,前处理-手工台,IMM-01,OP-107
S0807-01170,2026-08-07,周五,11:42,10-12,急诊采血,急诊,血浆,免疫,12,11:52,11:56,12:01,正常,,5,12:09,12:56,74,60,是,前处理-B线,HEM-01,OP-106
S0807-01171,2026-08-07,周五,13:45,12-14,体检中心,体检,全血,生化,6,14:07,14:10,14:20,正常,,10,14:25,15:20,95,240,否,前处理-A线,BIO-01,OP-104
S0807-01172,2026-08-07,周五,13:15,12-14,体检中心,体检,血清,生化,9,13:37,13:42,13:52,正常,,10,13:54,14:43,88,240,否,前处理-B线,HEM-01,OP-105
S0807-01173,2026-08-07,周五,07:17,07-10 早高峰,体检中心,体检,尿液,凝血,1,07:32,07:33,07:52,正常,,19,07:55,08:30,73,240,否,前处理-A线,IMM-02,OP-108
S0807-01174,2026-08-07,周五,14:28,14-17,门诊采血中心,门诊,血清,凝血,4,14:44,14:49,14:59,正常,,10,15:07,15:33,65,120,否,前处理-A线,MICRO-01,OP-101
S0807-01175,2026-08-07,周五,13:23,12-14,消化科病区,住院,全血,生化,15,13:48,13:49,13:56,正常,,7,13:59,14:46,83,120,否,前处理-B线,HEM-01,OP-103
S0807-01176,2026-08-07,周五,14:10,14-17,体检中心,体检,尿液,血液,4,14:26,14:32,14:37,正常,,5,14:41,15:28,78,240,否,前处理-A线,MICRO-01,OP-107
S0807-01177,2026-08-07,周五,07:12,07-10 早高峰,门诊采血中心,门诊,血清,生化,12,07:37,07:39,07:57,正常,,18,08:02,08:41,89,120,否,前处理-手工台,MICRO-01,OP-105
S0807-01178,2026-08-07,周五,10:28,10-12,呼吸科病区,住院,全血,免疫,5,11:13,11:19,11:29,正常,,10,11:31,11:56,88,120,否,前处理-A线,HEM-02,OP-107
S0807-01179,2026-08-07,周五,09:46,07-10 早高峰,门诊采血中心,门诊,血清,血液,3,10:08,10:10,10:36,正常,,26,10:38,11:03,77,120,否,前处理-B线,IMM-01,OP-103
S0807-01180,2026-08-07,周五,11:27,10-12,急诊采血,急诊,血清,微生物,5,11:44,11:45,11:53,正常,,8,12:01,15:59,272,60,是,前处理-B线,HEM-02,OP-108
S0807-01181,2026-08-07,周五,08:09,07-10 早高峰,消化科病区,住院,血浆,免疫,6,08:47,08:49,09:10,正常,,21,09:18,10:09,120,120,否,前处理-B线,COAG-01,OP-102
S0807-01182,2026-08-07,周五,14:30,14-17,消化科病区,住院,尿液,免疫,12,14:57,15:01,15:08,正常,,7,15:16,15:46,76,120,否,前处理-B线,IMM-01,OP-102
S0807-01183,2026-08-07,周五,09:35,07-10 早高峰,心内科病区,住院,血浆,血液,6,10:10,10:12,10:33,正常,,21,10:38,11:19,104,120,否,前处理-B线,HEM-01,OP-107
S0807-01184,2026-08-07,周五,09:20,07-10 早高峰,儿科门诊采血窗口,门诊,血清,血液,5,09:35,09:41,10:06,正常,,25,10:09,10:31,71,120,否,前处理-B线,HEM-02,OP-102
S0807-01185,2026-08-07,周五,07:08,07-10 早高峰,急诊采血,急诊,血清,免疫,18,07:23,07:29,07:46,正常,,17,07:48,08:26,78,60,是,前处理-手工台,IMM-02,OP-102
S0807-01186,2026-08-07,周五,09:11,07-10 早高峰,体检中心,体检,血清,血液,3,09:36,09:41,10:04,正常,,23,10:10,11:03,112,240,否,前处理-B线,COAG-01,OP-105
S0807-01187,2026-08-07,周五,12:29,12-14,消化科病区,住院,全血,生化,17,12:55,12:57,13:05,正常,,8,13:07,13:48,79,120,否,前处理-A线,BIO-01,OP-105
S0807-01188,2026-08-07,周五,08:34,07-10 早高峰,心内科病区,住院,全血,血液,1,09:14,09:15,09:30,正常,,15,09:38,10:11,97,120,否,前处理-A线,COAG-01,OP-106
S0807-01189,2026-08-07,周五,14:16,14-17,儿科门诊采血窗口,门诊,血浆,微生物,5,14:38,14:43,14:48,正常,,5,14:50,17:35,199,120,是,前处理-B线,IMM-02,OP-102
S0807-01190,2026-08-07,周五,09:34,07-10 早高峰,门诊采血中心,门诊,血清,凝血,3,09:59,10:04,10:29,正常,,25,10:34,11:03,89,120,否,前处理-B线,IMM-01,OP-101
S0807-01191,2026-08-07,周五,16:05,14-17,急诊采血,急诊,血清,免疫,9,16:22,16:25,16:30,正常,,5,16:37,17:19,74,60,是,前处理-手工台,IMM-01,OP-101
S0807-01192,2026-08-07,周五,07:27,07-10 早高峰,心内科病区,住院,全血,免疫,8,07:57,08:03,08:25,正常,,22,08:29,09:08,101,120,否,前处理-A线,HEM-02,OP-101
S0807-01193,2026-08-07,周五,11:35,10-12,儿科门诊采血窗口,门诊,血清,血液,3,11:51,11:54,12:04,正常,,10,12:08,12:54,79,120,否,前处理-A线,COAG-01,OP-108
S0807-01194,2026-08-07,周五,12:05,12-14,门诊采血中心,门诊,全血,生化,14,12:26,12:28,12:38,正常,,10,12:45,13:24,79,120,否,前处理-B线,BIO-01,OP-102
S0807-01195,2026-08-07,周五,09:42,07-10 早高峰,呼吸科病区,住院,全血,免疫,8,10:02,10:08,10:38,正常,,30,10:44,11:25,103,120,否,前处理-手工台,COAG-01,OP-108
S0807-01196,2026-08-07,周五,08:03,07-10 早高峰,急诊采血,急诊,血清,微生物,2,08:11,08:17,08:47,正常,,30,08:52,13:32,329,60,是,前处理-A线,MICRO-01,OP-105
S0807-01197,2026-08-07,周五,16:50,14-17,急诊采血,急诊,血清,血液,1,17:11,17:13,17:22,正常,,9,17:24,17:51,61,60,是,前处理-B线,IMM-02,OP-104
S0807-01198,2026-08-07,周五,08:01,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,7,08:18,08:24,08:44,正常,,20,08:48,09:09,68,120,否,前处理-A线,IMM-02,OP-106
S0807-01199,2026-08-07,周五,15:31,14-17,内分泌科病区,住院,血浆,微生物,6,15:53,15:58,16:08,正常,,10,16:10,18:36,185,120,是,前处理-A线,BIO-01,OP-106
S0807-01200,2026-08-07,周五,07:41,07-10 早高峰,儿科门诊采血窗口,门诊,全血,生化,3,07:57,08:01,08:18,正常,,17,08:20,08:42,61,120,否,前处理-手工台,HEM-01,OP-104
S0807-01201,2026-08-07,周五,11:07,10-12,门诊采血中心,门诊,全血,生化,5,11:23,11:26,11:36,正常,,10,11:39,12:32,85,120,否,前处理-手工台,BIO-02,OP-104
S0807-01202,2026-08-07,周五,07:46,07-10 早高峰,消化科病区,住院,血清,生化,11,08:07,08:11,08:39,正常,,28,08:42,09:17,91,120,否,前处理-B线,COAG-01,OP-104
S0807-01203,2026-08-07,周五,11:28,10-12,消化科病区,住院,血清,生化,9,12:21,12:25,12:29,正常,,4,12:34,13:22,114,120,否,前处理-B线,HEM-02,OP-104
S0807-01204,2026-08-07,周五,16:53,14-17,门诊采血中心,门诊,全血,凝血,6,17:16,17:19,17:29,正常,,10,17:31,18:10,77,120,否,前处理-B线,COAG-01,OP-101
S0807-01205,2026-08-07,周五,09:42,07-10 早高峰,心内科病区,住院,全血,凝血,1,10:15,10:16,10:45,正常,,29,10:47,11:16,94,120,否,前处理-B线,HEM-01,OP-102
S0807-01206,2026-08-07,周五,10:54,10-12,体检中心,体检,全血,血液,3,11:16,11:19,11:23,正常,,4,11:25,12:01,67,240,否,前处理-A线,BIO-01,OP-101
S0807-01207,2026-08-07,周五,10:48,10-12,肾内科病区,住院,血清,凝血,5,11:08,11:10,11:18,正常,,8,11:23,12:04,76,120,否,前处理-A线,BIO-01,OP-104
S0807-01208,2026-08-07,周五,09:04,07-10 早高峰,内分泌科病区,住院,血清,生化,8,09:52,09:53,10:22,正常,,29,10:25,10:45,101,120,否,前处理-B线,COAG-01,OP-105
S0807-01209,2026-08-07,周五,07:22,07-10 早高峰,内分泌科病区,住院,血浆,凝血,5,08:17,08:22,08:37,正常,,15,08:45,09:26,124,120,是,前处理-A线,IMM-01,OP-108
S0807-01210,2026-08-07,周五,14:52,14-17,急诊采血,急诊,血清,血液,4,15:16,15:20,15:27,正常,,7,15:30,15:54,62,60,是,前处理-手工台,COAG-01,OP-106
S0807-01211,2026-08-07,周五,11:49,10-12,急诊采血,急诊,血清,生化,8,12:02,12:03,12:07,正常,,4,12:11,12:55,66,60,是,前处理-手工台,IMM-01,OP-102
S0807-01212,2026-08-07,周五,10:26,10-12,心内科病区,住院,血清,免疫,17,11:05,11:09,11:13,正常,,4,11:16,11:47,81,120,否,前处理-B线,MICRO-01,OP-107
S0807-01213,2026-08-07,周五,08:37,07-10 早高峰,消化科病区,住院,血浆,生化,14,09:18,09:19,09:49,正常,,30,09:52,10:30,113,120,否,前处理-手工台,HEM-02,OP-101
S0807-01214,2026-08-07,周五,09:12,07-10 早高峰,ICU,住院,血清,生化,9,09:46,09:52,10:20,正常,,28,10:26,11:07,115,90,是,前处理-B线,HEM-01,OP-106
S0807-01215,2026-08-07,周五,07:47,07-10 早高峰,门诊采血中心,门诊,其他,免疫,2,07:56,08:02,08:33,正常,,31,08:38,09:22,95,120,否,前处理-手工台,MICRO-01,OP-107
S0807-01216,2026-08-07,周五,07:42,07-10 早高峰,门诊采血中心,门诊,血清,血液,5,08:06,08:09,08:30,正常,,21,08:32,08:58,76,120,否,前处理-B线,IMM-01,OP-101
S0807-01217,2026-08-07,周五,09:44,07-10 早高峰,儿科门诊采血窗口,门诊,全血,生化,18,09:54,09:58,10:24,正常,,26,10:26,11:07,83,120,否,前处理-B线,MICRO-01,OP-104
S0807-01218,2026-08-07,周五,08:31,07-10 早高峰,门诊采血中心,门诊,血清,生化,6,08:49,08:50,09:14,正常,,24,09:22,10:11,100,120,否,前处理-手工台,HEM-02,OP-106
S0807-01219,2026-08-07,周五,09:02,07-10 早高峰,ICU,住院,其他,血液,4,09:52,09:55,10:24,正常,,29,10:31,11:12,130,90,是,前处理-手工台,HEM-02,OP-102
S0807-01220,2026-08-07,周五,11:20,10-12,门诊采血中心,门诊,血清,生化,10,11:34,11:37,11:44,正常,,7,11:52,12:23,63,120,否,前处理-手工台,BIO-01,OP-103
S0807-01221,2026-08-07,周五,09:19,07-10 早高峰,门诊采血中心,门诊,血清,凝血,1,09:29,09:33,10:00,正常,,27,10:06,10:58,99,120,否,前处理-A线,BIO-01,OP-101
S0807-01222,2026-08-07,周五,10:25,10-12,ICU,住院,全血,生化,15,11:14,11:18,11:26,正常,,8,11:30,12:21,116,90,是,前处理-B线,IMM-01,OP-108
S0807-01223,2026-08-07,周五,10:47,10-12,门诊采血中心,门诊,尿液,生化,16,11:07,11:09,11:13,正常,,4,11:15,11:39,52,120,否,前处理-手工台,IMM-01,OP-104
S0807-01224,2026-08-07,周五,14:11,14-17,门诊采血中心,门诊,全血,免疫,12,14:33,14:36,14:42,正常,,6,14:49,15:13,62,120,否,前处理-A线,IMM-01,OP-105
S0807-01225,2026-08-07,周五,11:57,10-12,门诊采血中心,门诊,血清,生化,13,12:08,12:13,12:22,正常,,9,12:27,13:12,75,120,否,前处理-A线,HEM-02,OP-107
S0807-01226,2026-08-07,周五,15:31,14-17,体检中心,体检,全血,血液,3,15:45,15:46,15:55,正常,,9,16:03,16:37,66,240,否,前处理-手工台,BIO-02,OP-107
S0807-01227,2026-08-07,周五,08:22,07-10 早高峰,肾内科病区,住院,血清,凝血,1,09:11,09:12,09:24,正常,,12,09:32,09:59,97,120,否,前处理-B线,COAG-01,OP-104
S0807-01228,2026-08-07,周五,09:53,07-10 早高峰,门诊采血中心,门诊,血清,生化,6,10:08,10:14,10:33,正常,,19,10:38,11:14,81,120,否,前处理-B线,IMM-01,OP-107
S0807-01229,2026-08-07,周五,09:30,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,3,09:46,09:49,10:03,正常,,14,10:10,10:56,86,120,否,前处理-A线,HEM-02,OP-106
S0807-01230,2026-08-07,周五,16:22,14-17,呼吸科病区,住院,血清,生化,16,16:55,16:58,17:05,正常,,7,17:10,17:43,81,120,否,前处理-B线,HEM-02,OP-105
S0807-01231,2026-08-07,周五,10:28,10-12,肾内科病区,住院,血清,生化,13,11:16,11:19,11:24,正常,,5,11:28,11:55,87,120,否,前处理-手工台,IMM-01,OP-107
S0807-01232,2026-08-07,周五,10:30,10-12,门诊采血中心,门诊,血清,免疫,9,10:45,10:46,10:52,正常,,6,10:56,11:24,54,120,否,前处理-B线,BIO-02,OP-105
S0807-01233,2026-08-07,周五,11:22,10-12,ICU,住院,血清,免疫,1,12:06,12:08,12:12,正常,,4,12:19,12:45,83,90,否,前处理-A线,BIO-02,OP-101
S0807-01234,2026-08-07,周五,15:46,14-17,门诊采血中心,门诊,血清,生化,4,16:03,16:08,16:15,正常,,7,16:21,17:14,88,120,否,前处理-A线,HEM-01,OP-106
